,Name,Team,BYE,Pos,ADP,FP,ESPN PPR,Sleep PPR,Y PPR,NFL,CBS PPR,Average,AVGvADP,AVGvFP,Round,Pick
,Justin Jefferson,MIN,13,WR,1,1,1,1,1,1,1,1.0,0.00,0.00,1,1
,Christian McCaffrey,SF,9,RB,2,3,4,2,2,2,2,2.5,0.25,-0.17,,2
,Austin Ekeler,LAC,5,RB,3,7,2,4,5,3,4,3.5,0.17,-0.50,,3
,Ja'Marr Chase,CIN,7,WR,4,2,5,3,3,5,3,4.0,0.00,1.00,,4
,Cooper Kupp,LAR,10,WR,5,4,3,6,4,4,8,4.3,-0.15,0.06,,5
,Travis Kelce,KC,10,TE,6,6,6,5,9,6,5,6.5,0.08,0.08,,6
,Tyreek Hill,MIA,10,WR,7,5,8,7,7,9,7,7.8,0.11,0.55,,7
,Bijan Robinson,ATL,11,RB,8,14,7,8,8,8,6,7.8,-0.03,-0.45,,8
,Jonathan Taylor,IND,11,RB,11,16,9,11,6,11,11,9.3,-0.16,-0.42,,9
,Saquon Barkley,NYG,13,RB,9,10,11,10,12,7,9,10.0,0.11,0.00,,10
,Stefon Diggs,BUF,13,WR,10,8,13,9,11,10,12,10.8,0.08,0.34,,11
,CeeDee Lamb,DAL,7,WR,12,9,14,12,14,15,13,13.8,0.15,0.53,,12
,Davante Adams,LV,13,WR,13,12,12,15,17,12,16,14.0,0.08,0.17,2,13
,A.J. Brown,PHI,10,WR,14,11,19,14,16,13,14,15.5,0.11,0.41,,14
,Nick Chubb,CLE,5,RB,15,19,18,16,10,18,20,15.5,0.03,-0.18,,15
,Derrick Henry,TEN,7,RB,16,23,10,18,15,21,21,16.0,0.00,-0.30,,16
,Garrett Wilson,NYJ,7,WR,19,15,15,19,19,17,23,17.5,-0.08,0.17,,17
,Josh Jacobs,LV,13,RB,16,20,17,21,18,14,15,17.5,0.09,-0.13,,18
,Amon-Ra St. Brown,DET,9,WR,19,13,16,17,20,19,22,18.0,-0.05,0.38,,19
,Tony Pollard,DAL,7,RB,21,17,21,24,13,16,17,18.5,-0.12,0.09,,20
,Jaylen Waddle,MIA,10,WR,23,18,20,20,21,22,25,20.8,-0.10,0.15,,21
,Breece Hall,NYJ,7,RB,25,32,22,26,23,20,27,22.8,-0.09,-0.29,,22
