"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","29","1","3","1.7","0.8","-"
"2",1,"Lamar Jackson",BAL,"QB2","28","1","3","2.0","0.7","-"
"3",1,"Jayden Daniels",WAS,"QB3","24","1","6","2.7","1.3","-"
"4",1,"Joe Burrow",CIN,"QB4","28","3","11","4.8","1.9","-"
"5",2,"Jalen Hurts",PHI,"QB5","27","4","14","6.3","2.4","-"
"6",2,"Ja'Marr Chase",CIN,"WR1","25","3","9","6.5","1.7","-"
"7",2,"Justin Jefferson",MIN,"WR2","26","4","10","7.6","1.8","-"
"8",2,"Patrick Mahomes II",KC,"QB6","29","6","22","9.4","5.0","-"
"9",3,"Bijan Robinson",ATL,"RB1","23","7","18","12.7","3.7","-"
"10",3,"CeeDee Lamb",DAL,"WR3","26","7","21","13.0","4.3","-"
"11",3,"Malik Nabers",NYG,"WR4","22","5","20","13.3","4.0","-"
"12",3,"Justin Herbert",LAC,"QB7","27","7","31","13.4","7.5","-"
"13",3,"Jahmyr Gibbs",DET,"RB2","23","8","21","15.2","3.5","-"
"14",3,"Amon-Ra St. Brown",DET,"WR5","25","10","26","18.4","5.5","-"
"15",3,"Drake Maye",NE,"QB8","22","7","39","18.6","9.4","-"
"16",3,"Caleb Williams",CHI,"QB9","23","8","38","18.6","7.5","-"
"17",3,"Puka Nacua",LAR,"WR6","24","9","29","18.8","5.3","-"
"18",3,"Bo Nix",DEN,"QB10","25","11","44","18.9","8.2","-"
"19",3,"Brian Thomas Jr.",JAC,"WR7","22","12","26","19.3","4.2","-"
"20",3,"C.J. Stroud",HOU,"QB11","23","10","39","19.4","9.4","-"
"21",3,"Ashton Jeanty",LV,"RB3","21","13","26","19.5","3.6","-"
"22",4,"Nico Collins",HOU,"WR8","26","16","30","24.3","4.5","-"
"23",4,"Drake London",ATL,"WR9","24","20","36","27.4","4.8","-"
"24",4,"Jordan Love",GB,"QB12","26","14","58","27.5","14.0","-"
"25",4,"Saquon Barkley",PHI,"RB4","28","19","38","28.1","5.4","-"
"26",4,"Baker Mayfield",TB,"QB13","30","17","47","28.1","9.1","-"
"27",4,"Brock Purdy",SF,"QB14","25","15","76","28.6","15.5","-"
"28",4,"Brock Bowers",LV,"TE1","22","13","43","28.9","9.6","-"
"29",5,"Kyler Murray",ARI,"QB15","28","15","78","29.9","16.3","-"
"30",5,"De'Von Achane",MIA,"RB5","23","23","41","30.4","5.3","-"
"31",5,"Ladd McConkey",LAC,"WR10","23","21","41","30.9","4.9","-"
"32",5,"A.J. Brown",PHI,"WR11","28","24","41","33.8","5.2","-"
"33",5,"Jaxon Smith-Njigba",SEA,"WR12","23","24","50","34.4","6.1","-"
"34",5,"Garrett Wilson",NYJ,"WR13","25","24","45","34.9","5.0","-"
"35",5,"Marvin Harrison Jr.",ARI,"WR14","23","31","47","36.5","3.9","-"
