,Original Player_FP,POS,AGE,TIERS,RK,Rank,Rank_PFF,Composite Rank
260,Josh Allen,QB1,29,1.0,1.0,1.0,3.0,1.67
307,Lamar Jackson,QB2,28,1.0,2.0,2.0,2.0,2.0
226,Jayden Daniels,QB3,24,1.0,3.0,4.0,1.0,2.67
200,Jalen Hurts,QB5,27,2.0,5.0,3.0,4.0,4.0
244,Joe Burrow,QB4,28,1.0,4.0,7.0,5.0,5.33
183,Ja'Marr Chase,WR1,25,2.0,6.0,5.0,9.0,6.67
31,Bijan Robinson,RB1,23,3.0,9.0,6.0,10.0,8.33
363,Patrick Mahomes II,QB6,29,2.0,8.0,10.0,,9.0
272,Justin Jefferson,WR2,26,2.0,7.0,8.0,14.0,9.67
192,Jahmyr Gibbs,RB2,23,3.0,13.0,9.0,11.0,11.0
319,Malik Nabers,WR4,22,3.0,11.0,15.0,12.0,12.67
35,Bo Nix,QB10,25,3.0,18.0,14.0,7.0,13.0
63,CeeDee Lamb,WR3,26,3.0,10.0,11.0,23.0,14.67
368,Puka Nacua,WR6,24,3.0,17.0,12.0,16.0,15.0
45,Brian Thomas Jr.,WR7,22,3.0,19.0,16.0,15.0,16.67
15,Amon-Ra St. Brown,WR5,25,3.0,14.0,17.0,24.0,18.33
55,Caleb Williams,QB9,23,3.0,16.0,33.0,8.0,19.0
27,Baker Mayfield,QB13,30,4.0,26.0,21.0,20.0,22.33
47,Brock Purdy,QB14,25,4.0,27.0,27.0,13.0,22.33
22,Ashton Jeanty,RB3,21,3.0,21.0,26.0,21.0,22.67
131,Drake London,WR9,24,4.0,23.0,22.0,25.0,23.33
271,Justin Herbert,QB7,27,3.0,12.0,43.0,18.0,24.33
132,Drake Maye,QB8,22,3.0,15.0,28.0,30.0,24.33
256,Jordan Love,QB12,26,4.0,24.0,23.0,26.0,24.33
352,Nico Collins,WR8,26,4.0,22.0,25.0,27.0,24.67
109,De'Von Achane,RB5,23,5.0,30.0,18.0,31.0,26.33
46,Brock Bowers,TE1,22,4.0,28.0,32.0,22.0,27.33
398,Saquon Barkley,RB4,28,4.0,25.0,13.0,45.0,27.67
303,Kyler Murray,QB15,28,5.0,29.0,30.0,29.0,29.33
306,Ladd McConkey,WR10,23,5.0,31.0,31.0,28.0,30.0
52,C.J. Stroud,QB11,23,3.0,20.0,59.0,17.0,32.0
1,A.J. Brown,WR11,28,5.0,32.0,24.0,42.0,32.67
436,Trey McBride,TE2,25,5.0,39.0,29.0,33.0,33.67
51,Bucky Irving,RB8,22,5.0,40.0,35.0,34.0,36.33
224,Jaxon Smith-Njigba,WR12,23,5.0,33.0,42.0,39.0,38.0
215,Jared Goff,QB18,30,6.0,47.0,38.0,36.0,40.33
433,Trevor Lawrence,QB16,25,5.0,37.0,52.0,32.0,40.33
328,Marvin Harrison Jr.,WR14,23,5.0,35.0,56.0,35.0,42.0
179,J.J. McCarthy,QB17,22,6.0,44.0,65.0,19.0,42.67
155,Garrett Wilson,WR13,25,5.0,34.0,55.0,40.0,43.0
270,Justin Fields,QB22,26,7.0,73.0,19.0,37.0,43.0
251,Jonathan Taylor,RB9,26,5.0,41.0,37.0,51.0,43.0
414,Tee Higgins,WR15,26,5.0,42.0,46.0,44.0,44.0
40,Breece Hall,RB6,24,5.0,36.0,48.0,48.0,44.0
358,Omarion Hampton,RB7,22,5.0,38.0,58.0,38.0,44.67
90,Dak Prescott,QB19,32,6.0,52.0,20.0,66.0,46.0
64,Chase Brown,RB12,25,6.0,54.0,39.0,49.0,47.33
304,Kyren Williams,RB10,24,6.0,49.0,49.0,54.0,50.67
213,James Cook,RB11,25,6.0,53.0,50.0,52.0,51.67
290,Kenneth Walker III,RB15,24,7.0,64.0,47.0,47.0,52.67
337,Michael Penix Jr.,QB20,25,7.0,57.0,64.0,41.0,54.0
262,Josh Jacobs,RB13,27,7.0,58.0,40.0,65.0,54.33
427,Travis Hunter,WR16,22,5.0,43.0,82.0,46.0,57.0
112,DeVonta Smith,WR19,26,6.0,48.0,71.0,53.0,57.33
416,Terry McLaurin,WR25,29,7.0,61.0,44.0,75.0,60.0
88,DJ Moore,WR23,28,7.0,59.0,53.0,68.0,60.0
72,Christian McCaffrey,RB16,29,7.0,68.0,36.0,77.0,60.33
396,Sam LaPorta,TE3,24,6.0,51.0,69.0,62.0,60.67
89,DK Metcalf,WR21,27,6.0,55.0,60.0,73.0,62.67
158,George Kittle,TE4,31,7.0,70.0,45.0,74.0,63.0
388,Rome Odunze,WR22,23,6.0,56.0,78.0,57.0,63.67
441,Tua Tagovailoa,QB24,27,8.0,80.0,54.0,58.0,64.0
417,Tetairoa McMillan,WR17,22,6.0,45.0,106.0,43.0,64.67
476,Zay Flowers,WR20,24,6.0,50.0,84.0,63.0,65.67
118,Derrick Henry,RB17,31,7.0,75.0,34.0,90.0,66.33
469,Xavier Worthy,WR27,22,7.0,66.0,73.0,60.0,66.33
377,Rashee Rice,WR18,25,6.0,46.0,102.0,55.0,67.67
431,TreVeyon Henderson,RB14,22,7.0,62.0,68.0,78.0,69.33
60,Cameron Ward,QB21,23,7.0,65.0,94.0,50.0,69.67
49,Bryce Young,QB23,24,7.0,76.0,75.0,59.0,70.0
69,Chris Olave,WR28,25,7.0,67.0,76.0,70.0,71.0
407,T.J. Hockenson,TE5,28,7.0,72.0,67.0,76.0,71.67
230,Jaylen Waddle,WR26,26,7.0,63.0,81.0,71.0,71.67
456,Tyreek Hill,WR33,31,8.0,84.0,41.0,96.0,73.67
214,Jameson Williams,WR29,24,7.0,69.0,99.0,61.0,76.33
74,Chuba Hubbard,RB21,26,8.0,87.0,66.0,79.0,77.33
373,RJ Harvey,RB19,24,8.0,81.0,72.0,84.0,79.0
254,Jordan Addison,WR24,23,7.0,60.0,112.0,67.0,79.67
277,Kaleb Johnson,RB18,21,8.0,78.0,77.0,87.0,80.67
159,George Pickens,WR31,24,8.0,79.0,92.0,83.0,84.67
103,Davante Adams,WR35,32,8.0,86.0,51.0,117.0,84.67
442,Tucker Kraft,TE9,24,8.0,91.0,79.0,88.0,86.0
341,Mike Evans,WR36,31,8.0,88.0,61.0,112.0,87.0
12,Alvin Kamara,RB24,30,8.0,100.0,57.0,105.0,87.33
84,D'Andre Swift,RB28,26,9.0,111.0,70.0,91.0,90.67
394,Sam Darnold,QB25,28,8.0,89.0,86.0,99.0,91.33
372,Quinshon Judkins,RB20,21,8.0,82.0,111.0,85.0,92.67
105,David Montgomery,RB22,28,8.0,92.0,95.0,93.0,93.33
241,Jerry Jeudy,WR32,26,8.0,83.0,101.0,97.0,93.67
247,Joe Mixon,RB23,29,8.0,96.0,85.0,106.0,95.67
384,Ricky Pearsall,WR39,24,8.0,98.0,109.0,80.0,95.67
212,James Conner,RB29,30,9.0,113.0,63.0,119.0,98.33
294,Khalil Shakir,WR41,25,9.0,101.0,93.0,102.0,98.67
177,Isiah Pacheco,RB26,26,9.0,109.0,89.0,100.0,99.33
3,Aaron Jones Sr.,RB32,30,9.0,125.0,74.0,,99.5
479,,,,,,194.0,6.0,100.0
455,Tyler Warren,TE6,23,7.0,74.0,145.0,82.0,100.33
106,David Njoku,TE8,29,8.0,90.0,113.0,98.0,100.33
492,,,,,,195.0,6.0,100.5
81,Courtland Sutton,WR43,29,9.0,103.0,90.0,111.0,101.33
505,,,,,,197.0,6.0,101.5
518,,,,,,200.0,6.0,103.0
220,Jauan Jennings,WR49,28,9.0,117.0,98.0,94.0,103.0
145,Emeka Egbuka,WR30,22,7.0,71.0,157.0,81.0,103.0
