Rank,Player,Team,Position,Position Rank,Bye,Proj ADP,Cost
1,J. Daniels,WAS,QB,1,12,2.7,$21
2,L. Jackson,BAL,QB,2,7,3.6,$24
3,J. Allen,BUF,QB,3,7,1.8,$21
4,J. Hurts,PHI,QB,4,9,7.2,$17
5,J. Burrow,CIN,QB,5,10,5.9,$16
6,P. Mahomes,KC,QB,6,10,14.8,$10
7,B. Nix,DEN,QB,7,12,23.1,$3
8,C. Williams,CHI,QB,8,5,22.6,$5
9,J. Chase,CIN,WR,1,10,4.1,$59
10,B. Robinson,ATL,RB,1,5,8.2,$57
11,J. Gibbs,DET,RB,2,8,10.8,$55
12,M. Nabers,NYG,WR,2,14,11.4,$44
13,B. Purdy,SF,QB,9,14,51.6,$3
14,J. Jefferson,MIN,WR,3,6,5.8,$56
15,B. Thomas Jr.,JAX,WR,4,8,16.3,$41
16,P. Nacua,LAR,WR,5,8,17.5,$45
17,C. Stroud,HOU,QB,10,6,29.7,$3
18,J. Herbert,LAC,QB,11,12,25.8,$2
19,J. McCarthy,MIN,QB,12,6,55.1,$1
20,B. Mayfield,TB,QB,13,9,47.5,$6
21,A. Jeanty,LV,RB,3,8,13.3,$44
22,B. Bowers,LV,TE,1,8,9.9,$32
23,C. Lamb,DAL,WR,6,10,11.9,$54
24,A. St. Brown,DET,WR,7,8,15.6,$42
25,D. London,ATL,WR,8,5,21.7,$41
26,J. Love,GB,QB,14,5,40.5,$2
27,N. Collins,HOU,WR,9,6,20.3,$40
28,L. McConkey,LAC,WR,10,12,23.2,$37
29,K. Murray,ARI,QB,15,8,46.5,$3
30,D. Maye,NE,QB,16,14,29.3,$1
31,D. Achane,MIA,RB,4,12,28.8,$38
32,T. Lawrence,JAX,QB,17,8,63.5,$3
33,T. McBride,ARI,TE,2,8,19.7,$25
34,B. Irving,TB,RB,5,9,31.4,$38
35,M. Harrison Jr.,ARI,WR,11,8,27.0,$27
36,J. Goff,DET,QB,18,8,65.8,$2
37,J. Fields,NYJ,QB,19,9,86.5,$2
38,O. Hampton,LAC,RB,6,12,26.7,$17
39,J. Smith-Njigba,SEA,WR,12,8,32.6,$31
40,G. Wilson,NYJ,WR,13,9,34.4,$34
41,M. Penix Jr.,ATL,QB,20,5,68.3,$1
42,A. Brown,PHI,WR,14,9,33.1,$34
43,T. McMillan,CAR,WR,15,14,37.6,$18
44,T. Higgins,CIN,WR,16,10,44.4,$33
45,S. Barkley,PHI,RB,7,9,17.5,$56
46,T. Hunter,JAX,WR,17,8,35.5,$7
47,K. Walker III,SEA,RB,8,8,64.7,$21
48,B. Hall,NYJ,RB,9,9,35.5,$32
49,C. Brown,CIN,RB,10,10,53.2,$35
50,C. Ward,TEN,QB,21,10,N/A,$1
51,J. Taylor,IND,RB,11,11,38.0,$34
52,J. Cook,BUF,RB,12,7,52.8,$23
53,D. Smith,PHI,WR,18,9,57.7,$25
54,K. Williams,LAR,RB,13,8,41.7,$29
55,R. Rice,KC,WR,19,10,43.5,$28
56,J. Dart,NYG,QB,22,14,98.6,N/A
57,R. Odunze,CHI,WR,20,5,56.5,$8
58,T. Tagovailoa,MIA,QB,23,12,105.3,$1
59,B. Young,CAR,QB,24,14,81.6,N/A
60,X. Worthy,KC,WR,21,10,59.4,$23
61,J. Williams,DET,WR,22,8,78.0,$22
62,S. LaPorta,DET,TE,3,8,39.4,$10
63,Z. Flowers,BAL,WR,23,7,65.7,$19
64,T. Shough,NO,QB,25,11,149.9,N/A
65,J. Jacobs,GB,RB,14,5,47.9,$36
66,D. Prescott,DAL,QB,26,10,76.1,$7
67,J. Addison,MIN,WR,24,6,75.5,$13
68,D. Moore,CHI,WR,25,5,71.3,$24
69,A. Richardson,IND,QB,27,11,119.1,N/A
70,C. Olave,NO,WR,26,11,77.4,$12
71,J. Waddle,MIA,WR,27,12,85.4,$16
72,C. Loveland,CHI,TE,4,5,68.6,$1
73,D. Metcalf,PIT,WR,28,5,74.5,$24
74,G. Kittle,SF,TE,5,14,61.3,$16
75,T. McLaurin,WAS,WR,29,12,61.4,$31
76,T. Hockenson,MIN,TE,6,6,73.5,$8
