Rank,Player Name,Pos,QB Att / Game,QB YPC,YDS,YPC,RUSH,REC,TD,YPR,REC / TAR GAME
1,Josh Allen,QB,28.4,12.2,4269,5.2,102,N/A,40,0.0,N/A
2,Lamar Jackson,QB,27.9,13.2,5087,6.6,139,N/A,45,0.0,N/A
3,Jalen Hurts,QB,24.1,11.7,3533,4.2,150,N/A,32,0.0,N/A
4,Jayden Daniels,QB,28.2,10.8,4459,6.0,148,N/A,31,0.0,N/A
5,Ja'Marr Chase,WR,0.0,0.0,1740,10.7,3,127,17,13.4,7.5/10.3
6,Bijan Robinson,RB,0.0,0.0,1887,4.8,304,61,15,7.1,3.6/4.2
7,Joe Burrow,QB,38.4,10.7,5119,4.8,42,N/A,45,0.0,N/A
8,Justin Jefferson,WR,0.1,22.0,1558,3.0,1,103,10,14.9,6.1/9.1
9,Jahmyr Gibbs,RB,0.0,0.0,1929,5.6,250,52,20,9.9,3.1/3.7
10,Patrick Mahomes,QB,36.3,10.0,4237,5.3,58,1,28,2.0,0.1/0.1
11,CeeDee Lamb,WR,0.0,0.0,1264,5.0,14,101,6,11.8,6.7/10.1
12,Puka Nacua,WR,0.0,0.0,1036,4.2,11,79,4,12.5,7.2/9.6
13,Saquon Barkley,RB,0.0,0.0,2283,5.8,345,33,15,8.4,2.1/2.7
14,Bo Nix,QB,33.4,10.0,4207,4.7,92,1,3Sr3,2.0,0.1/0.1
15,Malik Nabers,WR,0.1,0.0,1206,0.4,5,109,7,11.0,7.3/11.3
16,Brian Thomas Jr.,WR,0.0,0.0,1330,8.0,6,87,10,14.7,5.1/7.8
17,Amon-Ra St. Brown,WR,0.1,7.0,1276,3.0,2,115,12,11.0,6.8/8.3
18,De'Von Achane,RB,0.0,0.0,1499,4.5,203,78,12,7.6,4.6/5.1
19,Justin Fields,QB,16.1,10.4,1395,4.7,62,N/A,10,0.0,N/A
20,Dak Prescott,QB,35.8,10.7,2032,4.2,13,N/A,12,0.0,N/A
21,Baker Mayfield,QB,33.5,11.1,4878,6.3,60,N/A,44,0.0,N/A
22,Drake London,WR,0.0,0.0,1268,-3.0,1,100,9,12.7,5.9/9.3
23,Jordan Love,QB,28.3,12.6,3472,3.3,25,N/A,26,0.0,N/A
24,A.J. Brown,WR,0.0,0.0,1079,0.0,N/A,67,7,16.1,5.2/7.5
25,Nico Collins,WR,0.0,0.0,1006,0.0,N/A,68,7,14.8,5.7/8.3
26,Ashton Jeanty,RB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,Brock Purdy,QB,30.3,12.9,4187,4.9,66,N/A,25,0.0,N/A
28,Drake Maye,QB,26.0,10.1,2697,7.8,54,N/A,17,0.0,N/A
29,Trey McBride,TE,0.0,0.0,1148,2.0,1,111,4,10.3,6.9/9.2
30,Kyler Murray,QB,31.8,10.4,4423,7.3,78,N/A,26,0.0,N/A
31,Ladd McConkey,WR,0.0,0.0,1149,0.0,N/A,82,7,14.0,5.1/7.0
32,Brock Bowers,TE,0.0,0.0,1207,2.6,5,112,5,10.7,6.6/9.0
33,Caleb Williams,QB,33.1,10.1,4030,6.0,81,N/A,20,0.0,N/A
34,Derrick Henry,RB,0.0,0.0,2114,5.9,325,19,18,10.2,1.1/1.3
35,Bucky Irving,RB,0.0,0.0,1514,5.4,207,47,8,8.3,2.8/3.1
36,Christian McCaffrey,RB,0.0,0.0,348,4.0,50,15,N/A,9.7,3.8/4.8
37,Jonathan Taylor,RB,0.0,0.0,1567,4.7,303,18,12,7.6,1.3/2.2
38,Jared Goff,QB,31.7,11.9,4692,1.6,35,1,37,7.0,0.1/0.1
39,Chase Brown,RB,0.0,0.0,1350,4.3,229,54,11,6.7,3.4/4.1
40,Josh Jacobs,RB,0.0,0.0,1671,4.4,301,36,16,9.5,2.1/2.5
41,Tyreek Hill,WR,0.0,0.0,1012,6.6,8,81,6,11.8,4.8/7.2
42,Jaxon Smith-Njigba,WR,0.1,35.0,1191,5.2,5,100,6,11.3,5.9/8.1
43,Justin Herbert,QB,29.6,11.7,4176,4.4,69,N/A,25,0.0,N/A
44,Terry Mclaurin,WR,0.0,0.0,1098,1.0,2,82,13,13.4,4.8/6.9
45,George Kittle,TE,0.0,0.0,1106,0.0,N/A,78,8,14.2,5.2/6.3
46,Tee Higgins,WR,0.0,0.0,911,0.0,N/A,73,10,12.5,6.1/9.1
47,Kenneth Walker III,RB,0.0,0.0,872,3.7,153,46,8,6.5,4.2/4.8
48,Breece Hall,RB,0.0,0.0,1359,4.2,209,57,8,8.5,3.6/4.8
49,Kyren Williams,RB,0.0,0.0,1481,4.1,316,34,16,5.4,2.1/2.5
50,James Cook,RB,0.0,0.0,1267,4.9,207,32,18,8.1,2.0/2.4
51,Davante Adams,WR,0.0,0.0,1063,0.0,N/A,85,8,12.5,6.1/10.1
52,Trevor Lawrence,QB,28.4,11.9,2159,4.6,26,N/A,14,0.0,N/A
